order,movie_name,trial_number,trial_speaker,trial_lang,fam_type,aoi
O1,Male_Eng_1,1,male,Eng,Fem_Fr_Male_Eng,full_screen
O1,Fem_Fr_1,2,female,Fr,Fem_Fr_Male_Eng,full_screen
O1,Male_Eng_2,3,male,Eng,Fem_Fr_Male_Eng,full_screen
O1,Fem_Fr_2,4,female,Fr,Fem_Fr_Male_Eng,full_screen
O1,Fem_Fr_3,5,female,Fr,Fem_Fr_Male_Eng,full_screen
O1,Male_Eng_3,6,male,Eng,Fem_Fr_Male_Eng,full_screen
O1,Fem_Fr_4,7,female,Fr,Fem_Fr_Male_Eng,full_screen
O1,Male_Eng_4,8,male,Eng,Fem_Fr_Male_Eng,full_screen
O1,Fem_Fr_Same,9,female,Fr,Fem_Fr_Male_Eng,full_screen
O1,Fem_Fr_Switch,10,female,Eng,Fem_Fr_Male_Eng,full_screen
O1,Male_Eng_Same,11,male,Eng,Fem_Fr_Male_Eng,full_screen
O1,Male_Eng_Switch,12,male,Fr,Fem_Fr_Male_Eng,full_screen
O2,Male_Eng_1,1,male,Eng,Fem_Fr_Male_Eng,full_screen
O2,Fem_Fr_1,2,female,Fr,Fem_Fr_Male_Eng,full_screen
O2,Male_Eng_2,3,male,Eng,Fem_Fr_Male_Eng,full_screen
O2,Fem_Fr_2,4,female,Fr,Fem_Fr_Male_Eng,full_screen
O2,Fem_Fr_3,5,female,Fr,Fem_Fr_Male_Eng,full_screen
O2,Male_Eng_3,6,male,Eng,Fem_Fr_Male_Eng,full_screen
O2,Fem_Fr_4,7,female,Fr,Fem_Fr_Male_Eng,full_screen
O2,Male_Eng_4,8,male,Eng,Fem_Fr_Male_Eng,full_screen
O2,Fem_Fr_Switch,9,female,Eng,Fem_Fr_Male_Eng,full_screen
O2,Fem_Fr_Same,10,female,Fr,Fem_Fr_Male_Eng,full_screen
O2,Male_Eng_Switch,11,male,Fr,Fem_Fr_Male_Eng,full_screen
O2,Male_Eng_Same,12,male,Eng,Fem_Fr_Male_Eng,full_screen
O3,Male_Eng_1,1,male,Eng,Fem_Fr_Male_Eng,full_screen
O3,Fem_Fr_1,2,female,Fr,Fem_Fr_Male_Eng,full_screen
O3,Male_Eng_2,3,male,Eng,Fem_Fr_Male_Eng,full_screen
O3,Fem_Fr_2,4,female,Fr,Fem_Fr_Male_Eng,full_screen
O3,Fem_Fr_3,5,female,Fr,Fem_Fr_Male_Eng,full_screen
O3,Male_Eng_3,6,male,Eng,Fem_Fr_Male_Eng,full_screen
O3,Fem_Fr_4,7,female,Fr,Fem_Fr_Male_Eng,full_screen
O3,Male_Eng_4,8,male,Eng,Fem_Fr_Male_Eng,full_screen
O3,Male_Eng_Same,9,male,Eng,Fem_Fr_Male_Eng,full_screen
O3,Male_Eng_Switch,10,male,Fr,Fem_Fr_Male_Eng,full_screen
O3,Fem_Fr_Same,11,female,Fr,Fem_Fr_Male_Eng,full_screen
O3,Fem_Fr_Switch,12,female,Eng,Fem_Fr_Male_Eng,full_screen
O4,Male_Eng_1,1,male,Eng,Fem_Fr_Male_Eng,full_screen
O4,Fem_Fr_1,2,female,Fr,Fem_Fr_Male_Eng,full_screen
O4,Male_Eng_2,3,male,Eng,Fem_Fr_Male_Eng,full_screen
O4,Fem_Fr_2,4,female,Fr,Fem_Fr_Male_Eng,full_screen
O4,Fem_Fr_3,5,female,Fr,Fem_Fr_Male_Eng,full_screen
O4,Male_Eng_3,6,male,Eng,Fem_Fr_Male_Eng,full_screen
O4,Fem_Fr_4,7,female,Fr,Fem_Fr_Male_Eng,full_screen
O4,Male_Eng_4,8,male,Eng,Fem_Fr_Male_Eng,full_screen
O4,Male_Eng_Switch,9,male,Fr,Fem_Fr_Male_Eng,full_screen
O4,Male_Eng_Same,10,male,Eng,Fem_Fr_Male_Eng,full_screen
O4,Fem_Fr_Switch,11,female,Eng,Fem_Fr_Male_Eng,full_screen
O4,Fem_Fr_Same,12,female,Fr,Fem_Fr_Male_Eng,full_screen
O5,Male_Fr_1,1,male,Fr,Fem_Eng_Male_Fr,full_screen
O5,Fem_Eng_1,2,female,Eng,Fem_Eng_Male_Fr,full_screen
O5,Male_Fr_2,3,male,Fr,Fem_Eng_Male_Fr,full_screen
O5,Fem_Eng_2,4,female,Eng,Fem_Eng_Male_Fr,full_screen
O5,Fem_Eng_3,5,female,Eng,Fem_Eng_Male_Fr,full_screen
O5,Male_Fr_3,6,male,Fr,Fem_Eng_Male_Fr,full_screen
O5,Fem_Eng_4,7,female,Eng,Fem_Eng_Male_Fr,full_screen
O5,Male_Fr_4,8,male,Fr,Fem_Eng_Male_Fr,full_screen
O5,Fem_Eng_Same,9,female,Eng,Fem_Eng_Male_Fr,full_screen
O5,Fem_Eng_Switch,10,female,Fr,Fem_Eng_Male_Fr,full_screen
O5,Male_Fr_Same,11,male,Fr,Fem_Eng_Male_Fr,full_screen
O5,Male_Fr_Switch,12,male,Eng,Fem_Eng_Male_Fr,full_screen
O6,Male_Fr_1,1,male,Fr,Fem_Eng_Male_Fr,full_screen
O6,Fem_Eng_1,2,female,Eng,Fem_Eng_Male_Fr,full_screen
O6,Male_Fr_2,3,male,Fr,Fem_Eng_Male_Fr,full_screen
O6,Fem_Eng_2,4,female,Eng,Fem_Eng_Male_Fr,full_screen
O6,Fem_Eng_3,5,female,Eng,Fem_Eng_Male_Fr,full_screen
O6,Male_Fr_3,6,male,Fr,Fem_Eng_Male_Fr,full_screen
O6,Fem_Eng_4,7,female,Eng,Fem_Eng_Male_Fr,full_screen
O6,Male_Fr_4,8,male,Fr,Fem_Eng_Male_Fr,full_screen
O6,Fem_Eng_Switch,9,female,Fr,Fem_Eng_Male_Fr,full_screen
O6,Fem_Eng_Same,10,female,Eng,Fem_Eng_Male_Fr,full_screen
O6,Male_Fr_Switch,11,male,Eng,Fem_Eng_Male_Fr,full_screen
O6,Male_Fr_Same,12,male,Fr,Fem_Eng_Male_Fr,full_screen
O7,Male_Fr_1,1,male,Fr,Fem_Eng_Male_Fr,full_screen
O7,Fem_Eng_1,2,female,Eng,Fem_Eng_Male_Fr,full_screen
O7,Male_Fr_2,3,male,Fr,Fem_Eng_Male_Fr,full_screen
O7,Fem_Eng_2,4,female,Eng,Fem_Eng_Male_Fr,full_screen
O7,Fem_Eng_3,5,female,Eng,Fem_Eng_Male_Fr,full_screen
O7,Male_Fr_3,6,male,Fr,Fem_Eng_Male_Fr,full_screen
O7,Fem_Eng_4,7,female,Eng,Fem_Eng_Male_Fr,full_screen
O7,Male_Fr_4,8,male,Fr,Fem_Eng_Male_Fr,full_screen
O7,Male_Fr_Same,9,male,Fr,Fem_Eng_Male_Fr,full_screen
O7,Male_Fr_Switch,10,male,Eng,Fem_Eng_Male_Fr,full_screen
O7,Fem_Eng_Same,11,female,Eng,Fem_Eng_Male_Fr,full_screen
O7,Fem_Eng_Switch,12,female,Fr,Fem_Eng_Male_Fr,full_screen
O8,Male_Fr_1,1,male,Fr,Fem_Eng_Male_Fr,full_screen
O8,Fem_Eng_1,2,female,Eng,Fem_Eng_Male_Fr,full_screen
O8,Male_Fr_2,3,male,Fr,Fem_Eng_Male_Fr,full_screen
O8,Fem_Eng_2,4,female,Eng,Fem_Eng_Male_Fr,full_screen
O8,Fem_Eng_3,5,female,Eng,Fem_Eng_Male_Fr,full_screen
O8,Male_Fr_3,6,male,Fr,Fem_Eng_Male_Fr,full_screen
O8,Fem_Eng_4,7,female,Eng,Fem_Eng_Male_Fr,full_screen
O8,Male_Fr_4,8,male,Fr,Fem_Eng_Male_Fr,full_screen
O8,Male_Fr_Switch,9,male,Eng,Fem_Eng_Male_Fr,full_screen
O8,Male_Fr_Same,10,male,Fr,Fem_Eng_Male_Fr,full_screen
O8,Fem_Eng_Switch,11,female,Fr,Fem_Eng_Male_Fr,full_screen
O8,Fem_Eng_Same,12,female,Eng,Fem_Eng_Male_Fr,full_screen
